"siteid","gvillcode","offyr","offmon","offday","offby","fgyr","fgmon","fgday","fgby","intyear","intmon","intday","intby","entyear","entmon","entday","entby"
"204021","204201",2009,6,6,5,2009,6,6,5,2009,6,8,5,2010,12,6,6
"204021","204202",2009,6,22,5,2009,6,22,5,2009,6,22,5,2010,12,6,7
"306021","306201",2008,2,2,1,2008,2,2,1,2008,2,2,1,2008,12,29,6
"306021","306202",2008,2,5,2,2008,2,5,2,2008,2,5,2,2008,12,29,6
"306021","306203",2008,2,1,1,2008,2,1,1,2008,2,1,1,2008,12,29,6
"306021","306204",2008,2,9,2,2008,2,9,2,2008,2,9,2,2008,12,29,6
"306021","306205",2008,2,12,1,2008,2,12,1,2008,2,12,1,2008,2,12,6
"306021","306206",2008,2,13,1,2008,2,13,1,2008,2,13,1,2008,12,29,6
"306021","306207",2008,2,6,1,2008,2,6,1,2008,2,6,1,2008,12,29,6
"306021","306208",2008,2,1,1,2008,2,1,1,2008,2,1,1,2008,12,29,6
"306021","306209",2008,1,31,1,2008,1,31,1,2008,1,31,1,2008,12,29,6
"306021","306210",2008,2,2,1,2008,2,2,1,2008,2,2,1,2008,12,29,6
"306021","306211",2008,1,10,1,2008,1,10,1,2008,1,10,1,2008,12,29,6
"306021","306212",2008,1,30,1,2008,1,30,1,2008,1,30,1,2008,12,29,6
"306021","306213",2008,2,1,1,2008,2,1,1,2008,2,1,1,2008,12,29,6
"306021","306214",2008,2,7,1,2008,2,7,1,2008,2,7,1,2008,12,29,6
"306021","306215",2008,2,7,2,2008,2,7,2,2008,11,7,2,2008,12,29,6
"306011","306101",2007,12,13,1,2007,12,13,1,2007,12,13,1,2008,10,7,9
"306011","306102",2007,12,9,1,2007,12,9,1,2007,12,9,1,2008,10,7,9
"306011","306103",2007,12,11,1,2007,12,11,1,2007,12,11,1,2008,10,27,9
"306011","306104",2007,12,8,1,2007,12,8,1,2007,12,8,1,2008,10,7,9
"306011","306105",2007,12,10,1,2007,12,10,1,2007,12,10,1,2008,10,7,9
"306011","306106",2007,12,7,1,2007,12,7,1,2007,12,7,1,2008,10,27,9
