"siteid","gvillcode","land_v_cat","land_v_total","land_v_state","land_v_comm","land_v_priv","land_v_open"
"104021","104230",10,45,0,45,0,0
"104021","104230",11,32,0,32,0,0
"104021","104230",14,1900,0,1900,0,0
"104021","104231",1,10747,0,10747,0,0
"104021","104231",2,70,0,70,0,0
"104021","104231",4,210,0,210,0,0
"104021","104231",6,540,0,540,0,0
"104021","104231",11,3,0,3,0,0
"104021","104231",13,190,0,190,0,0
"104021","104231",14,11800,0,11800,0,0
"104021","104231",5,40,0,40,0,0
"104021","104232",1,42,33.6,0,8.4,0
"104021","104232",6,70,56,0,14,0
"104021","104232",8,90,72,0,18,0
"104021","104232",11,8,0,8,0,0
"104021","104232",14,330,257.6,8,64.4,0
"104021","104232",5,120,96,0,24,0
"105011","105101",1,223.220001220703,-8,223.220001220703,0,0
"105011","105101",4,77.09,-8,0,77.09,0
"105011","105101",11,13,-8,13,0,0
"105011","105102",1,158,-8,158,0,0
"105011","105102",4,153,-8,0,153,0
"105011","105103",1,105,-8,105,0,0
"105011","105103",4,150,-8,0,150,0
"105011","105104",1,100,-8,0,100,0
"105011","105104",3,50,-8,0,50,0
"105011","105104",4,100,-8,0,100,0
"105011","105105",1,800,-8,800,0,0
"105011","105105",2,400,-8,400,0,0
"105011","105105",3,25,-8,25,0,0
"105011","105106",1,500,-8,500,0,0
"105011","105106",2,220,-8,220,0,0
"105011","105106",3,75,-8,75,0,0
"105011","105107",1,290,-8,290,0,0
"105011","105107",2,110,-8,110,0,0
"105011","105107",3,20,-8,20,0,0
"105011","105108",1,700,-8,700,0,0
"105011","105108",3,5,-8,5,0,0
"105011","105109",1,110,-8,110,0,0
"105011","105109",2,80,-8,80,0,0
"105011","105109",3,15,-8,15,0,0
"105011","105110",1,500,-8,500,0,0
"105011","105110",2,250,-8,250,0,0
"105011","105111",1,130,-8,130,0,0
"105011","105111",2,40,-8,40,0,0
"105011","105112",1,85,-8,85,0,0
"105011","105112",3,4,-8,4,0,0
"106011","106101",1,-9,-9,0,-9,0
"106011","106101",2,-9,-9,-9,-9,0
"106011","106101",3,-9,-9,0,-9,0
"106011","106101",4,-9,-9,-9,-9,0
"106011","106101",5,-9,0,0,-9,0
"106011","106101",6,-9,-9,-9,-9,0
"106011","106101",8,-9,-9,-9,-9,0
"106011","106101",11,-9,-9,-9,-9,0
"106011","106101",12,-9,-9,0,0,-9
"106011","106102",1,-9,-9,0,0,0
"106011","106102",2,-9,-9,0,0,0
"106011","106102",3,-9,-9,0,0,0
"106011","106102",4,-9,-9,0,0,0
"106011","106102",6,-9,-9,0,0,0
"106011","106102",8,-9,-9,0,0,0
"106011","106102",11,-9,-9,0,0,0
"106011","106102",12,-9,-9,0,0,0
"106011","106103",1,-9,-9,0,0,0
"106011","106103",2,-9,-9,0,0,0
"106011","106103",3,-9,-9,0,0,0
"106011","106103",4,-9,-9,0,0,0
"106011","106103",5,-9,-9,0,0,0
"106011","106103",6,-9,-9,0,0,0
"106011","106103",8,-9,-9,0,0,0
