"siteid","gvillcode","dem_yrvill","dem_pop","dem_hhd","dem_pop10","dem_hhd10","dem_in","dem_out","dem_ethnic"
"104021","104221",1968,250,40,400,40,0,100,3
"104021","104222",1910,280,35,230,30,0,0,1
"104021","104223",1980,400,76,200,30,0,4,1
"104021","104224",1984,-9,140,-9,-9,300,-9,1
"104021","104225",1970,130,28,40,10,40,30,1
"104021","104226",1941,290,40,180,20,0,10,1
"104021","104227",1500,325,60,125,30,80,5,1
"104021","104228",1989,300,80,180,40,8,40,2
"104021","104229",1988,150,24,70,25,15,0,2
"104021","104230",1988,300,37,192,32,30,8,1
"104021","104231",1563,490,70,-9,-9,-9,-9,1
"104021","104232",1994,220,55,45,15,150,15,3
"105011","105101",1890,249,44,-9,-9,-9,-9,1
"105011","105102",1850,1650,234,1155,164,-9,90,1
"105011","105103",1985,1720,303,1204,212,-9,88,1
"105011","105104",1987,601,112,421,78,-9,22,1
"105011","105105",-9,554,79,-9,-9,-9,-9,1
"105011","105106",-9,474,68,-9,-9,-9,-9,1
"105011","105107",-9,781,56,-9,-9,-9,-9,1
"105011","105108",-9,264,38,-9,-9,-9,-9,1
"105011","105109",-9,222,32,-9,-9,-9,-9,1
"105011","105110",-9,225,40,-9,-9,-9,-9,1
"105011","105111",-9,147,22,-9,-9,-9,-9,1
